Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
1.134725, 0.063305, 0.949454,                     -0.012759, 0.019786, 0.625301, 0.354913
1.124295, 0.060673, 0.952334,                     -0.013007, 0.025661, 0.618613, 0.355725
1.114055, 0.057943, 0.955682,                     -0.013625, 0.032322, 0.611446, 0.356231
1.104000, 0.055302, 0.958708,                     -0.014009, 0.039316, 0.603993, 0.356691
1.094125, 0.052631, 0.961462,                     -0.014094, 0.046803, 0.595910, 0.357287
1.084425, 0.049877, 0.964641,                     -0.014519, 0.054952, 0.587545, 0.357503
1.074895, 0.047214, 0.967541,                     -0.014754, 0.063193, 0.579152, 0.357655
1.065532, 0.044558, 0.970099,                     -0.014657, 0.071650, 0.570405, 0.357945
1.056330, 0.041840, 0.973031,                     -0.014871, 0.080645, 0.561558, 0.357797
1.047285, 0.039214, 0.975729,                     -0.014943, 0.089533, 0.552903, 0.357564
1.038395, 0.036631, 0.978018,                     -0.014649, 0.098367, 0.544129, 0.357504
1.029654, 0.034011, 0.980631,                     -0.014642, 0.107626, 0.535405, 0.356969
1.021059, 0.031487, 0.983047,                     -0.014534, 0.116645, 0.527032, 0.356323
1.012606, 0.029036, 0.985009,                     -0.014045, 0.125370, 0.518729, 0.355901
1.004292, 0.026579, 0.987225,                     -0.013804, 0.134426, 0.510577, 0.354997
0.996113, 0.024222, 0.989290,                     -0.013512, 0.143176, 0.502885, 0.353939
0.988067, 0.021965, 0.990860,                     -0.012825, 0.151433, 0.495396, 0.353171
0.980149, 0.019733, 0.992626,                     -0.012359, 0.159943, 0.488128, 0.351930
0.972358, 0.017608, 0.994275,                     -0.011883, 0.168137, 0.481374, 0.350489
0.964689, 0.015605, 0.995402,                     -0.011007, 0.175683, 0.474920, 0.349397
0.957140, 0.013659, 0.996661,                     -0.010319, 0.183411, 0.468723, 0.347866
0.949709, 0.011828, 0.997845,                     -0.009674, 0.190856, 0.463061, 0.346083
0.942392, 0.010137, 0.998491,                     -0.008628, 0.197539, 0.457765, 0.344696
0.935187, 0.008532, 0.999210,                     -0.007742, 0.204333, 0.452741, 0.342926
0.928091, 0.007053, 0.999886,                     -0.006939, 0.210904, 0.448258, 0.340837
0.921102, 0.005726, 1.000025,                     -0.005751, 0.216634, 0.444180, 0.339186
0.914218, 0.004511, 1.000176,                     -0.004687, 0.222400, 0.440381, 0.337219
0.907436, 0.003433, 1.000326,                     -0.003759, 0.228014, 0.437112, 0.334874
0.900753, 0.002513, 0.999943,                     -0.002456, 0.232739, 0.434276, 0.332984
0.894168, 0.001729, 0.999525,                     -0.001255, 0.237414, 0.431725, 0.330861
0.887679, 0.001090, 0.999140,                     -0.000230, 0.242014, 0.429686, 0.328300
0.881284, 0.000614, 0.998243,                     0.001143, 0.245699, 0.428102, 0.326199
